iter	Passed	Remaining
0	0	24
1	0	22
2	0	20
3	0	20
4	1	19
5	1	18
6	1	18
7	1	17
8	1	17
9	1	16
10	2	16
11	2	16
12	2	16
13	2	16
14	2	16
15	3	15
16	3	15
17	3	15
18	3	14
19	4	16
20	4	16
21	4	15
22	4	15
23	4	15
24	4	14
25	5	14
26	5	14
27	5	14
28	5	14
29	5	13
30	6	13
31	6	13
32	6	13
33	6	12
34	6	12
35	6	12
36	7	12
37	7	12
38	7	11
39	7	11
40	7	11
41	8	11
42	8	10
43	8	10
44	8	10
45	8	10
46	8	10
47	9	9
48	9	9
49	9	9
50	9	9
51	9	9
52	10	9
53	10	8
54	10	8
55	10	8
56	10	8
57	10	7
58	11	7
59	11	7
60	11	7
61	11	7
62	11	6
63	11	6
64	12	6
65	12	6
66	12	6
67	12	5
68	12	5
69	12	5
70	13	5
71	13	5
72	13	4
73	13	4
74	13	4
75	13	4
76	13	4
77	14	3
78	14	3
79	14	3
80	14	3
81	14	3
82	14	3
83	14	2
84	15	2
85	15	2
86	15	2
87	15	2
88	15	1
89	15	1
90	16	1
91	16	1
92	16	1
93	16	1
94	16	0
95	16	0
96	17	0
97	17	0
98	17	0
99	17	0
