word,polarity
優れる,1
良い,1
喜ぶ,1
褒める,1
めでたい,1
賢い,1
善い,1
適す,1
天晴,1
祝う,1
功績,1
賞,1
嬉しい,1
喜び,1
才知,1
徳,1
才能,1
素晴らしい,1
芳しい,1
称える,1
適切,1
崇める,1
助ける,1
抜きんでる,1
清水,1
雄雄しい,1
仕合せ,1
幸い,1
吉兆,1
秀でる,1
宜しい,1
きりりしゃんと,1
矜持,1
香しい,1
しこなす,1
遣りこなす,1
優麗,1
気高い,1
手柄,1
正義,1
麗しい,1
名高い,1
感心,1
誉れ,1
卓説,1
巍然,1
崇敬,1
美徳,1
素早い,1
背負ってる,1
人材,1
果報者,1
多祥,1
勇ましい,1
秀逸,1
まぐれ幸い,1
賞揚,1
称賛,1
称美,1
激賞,1
熱讚,1
一品,1
怜,1
愉悦,1
奮い立つ,1
速攻,1
百錬,1
淵,1
好個,1
似つかわしい,1
喜悦,1
欣然,1
欣欣然,1
欣欣,1
恐悦,1
過褒,1
美挙,1
逸興,1
佑助,1
善行,1
良相,1
卓越,1
超邁,1
超凡,1
超絶,1
特出,1
英資,1
好日,1
傑出,1
俊髦,1
傑士,1
秀抜,1
大剛,1
利運,1
好好爺,1
近信,1
たやすい,1
快,1
奇相,1
賢人,1
崇,1
抜群,1
悦楽,1
楽しむ,1
栄える,1
吉日,1
善美,1
逸材,1
好ましい,1
才気,1
白眉,1
堪能,1
善,1
絶好,1
横溢,1
昌,1
芬芬,1
善事,1
賢明,1
丁度,1
吉報,1
上上,1
高説,1
善玉,1
非凡,1
憧憬,1
憧憬,1
吉事,1
至妙,1
名声,1
奨励,1
そこのけ,1
雄志,1
佳景,1
善用,1
走り井,1
楽しい,1
愛くるしい,1
佳良,1
堪能,1
好評,1
積善,1
喜ばしい,1
精強,1
志す,1
快い,1
手厚い,1
大力,1
穎悟,1
最長,1
剴切,1
甲斐甲斐しい,1
英才,1
孝行,1
援助,1
適性,1
徳行,1
褒詞,1
賛辞,1
楽,1
慶事,1
佳日,1
吉辰,1
俊秀,1
気組み,1
賞辞,1
賞詞,1
秀,1
慶福,1
福祉,1
喜の字,1
賢才,1
優秀,1
厚志,1
きびきび,1
好事,1
絶倫,1
頌徳,1
才走る,1
賀,1
殷賑,1
幸運,1
良能,1
輝かしい,1
傑作,1
俊足,1
俊豪,1
賛成,1
高見,1
雄心,1
緑玉,1
翠玉,1
高論,1
偉大,1
卓抜,1
明主,1
似合しい,1
聖人,1
耆婆扁鵲,1
英気,1
思わしい,1
ジェントルマン,1
ゼントルマン,1
俊才,1
大賢,1
吉日,1
剛の者,1
雄偉,1
歓喜,1
出色,1
偉功,1
好人物,1
吉祥,1
好望,1
名望,1
満足,1
最良,1
嘆賞,1
プライド,1
賢君,1
上作,1
高邁,1
愛らしい,1
キュート,1
大和尚,1
頓才,1
欣喜雀躍,1
名品,1
しおらしい,1
善哉,1
悦,1
腕利き,1
利手,1
傑人,1
賞する,1
賀春,1
腕っこき,1
賑賑しい,1
瑞瑞しい,1
持て囃す,1
芳醇,1
神助,1
育英,1
頌春,1
英俊,1
頌辞,1
嘉辰,1
僥倖,1
秀才,1
鑽仰,1
佳作,1
達筆,1
精良,1
顔揃い,1
瑞枝,1
隆昌,1
正しい,1
女傑,1
勧賞,1
落ち着く,1
元気,1
興じる,1
吉左右,1
おめでたい,1
敏速,1
際立つ,1
