timestamp,count,avg_score,negative_rate
2022-11-30 15:00:00+00:00,1,-3.0,1.0
2022-11-30 16:00:00+00:00,0,,
2022-11-30 17:00:00+00:00,2,-10.5,1.0
2022-11-30 18:00:00+00:00,0,,
2022-11-30 19:00:00+00:00,0,,
2022-11-30 20:00:00+00:00,1,-21.0,1.0
2022-11-30 21:00:00+00:00,3,-11.666666666666666,1.0
2022-11-30 22:00:00+00:00,0,,
2022-11-30 23:00:00+00:00,3,-16.0,1.0
2022-12-01 00:00:00+00:00,1,-19.0,1.0
2022-12-01 01:00:00+00:00,1,-10.0,1.0
2022-12-01 02:00:00+00:00,3,-16.333333333333332,1.0
2022-12-01 03:00:00+00:00,5,-12.2,1.0
2022-12-01 04:00:00+00:00,5,-10.4,1.0
2022-12-01 05:00:00+00:00,1,-15.0,1.0
2022-12-01 06:00:00+00:00,3,-20.666666666666668,1.0
2022-12-01 07:00:00+00:00,4,-15.25,1.0
2022-12-01 08:00:00+00:00,8,-13.25,1.0
2022-12-01 09:00:00+00:00,8,-10.5,1.0
2022-12-01 10:00:00+00:00,5,-14.6,1.0
2022-12-01 11:00:00+00:00,7,-14.714285714285714,1.0
2022-12-01 12:00:00+00:00,11,-13.454545454545455,1.0
2022-12-01 13:00:00+00:00,8,-6.375,1.0
2022-12-01 14:00:00+00:00,14,-13.357142857142858,1.0
