date,id,url,content,user,user_displayname,reply_count,retweet_count,like_count,sentiment_score,is_negative
2022-12-03 02:57:18+00:00,1598873986913677316,https://x.com/1720fei11/status/1598873986913677316,"確かに「三苫」は超えれると思うよ
無名選手だし",1720fei11,φ,0.0,0.0,0.0,-4,True
2022-12-03 03:15:48+00:00,1598878642482073600,https://x.com/DaikiYamamura/status/1598878642482073600,三苫のVAR議論でますますVAR対インザーギ見たかった。多分ほとんどオフサイド。,DaikiYamamura,山村大輝a.k.a. UNITED(株)建設会社の総合サポート,1.0,0.0,14.0,-5,True
2022-12-03 03:42:23+00:00,1598885331088314368,https://x.com/TOMI_EZO/status/1598885331088314368,"相手はアウトと判断足が止まってた
三苫、前田、碧は諦めず飛び込んだ
#サッカー日本代表 
#ワールドカップ 
#公式見解発表 
#ジャイアントキリング",TOMI_EZO,とみ@北海道@12月13日アニラ,0.0,3.0,10.0,-19,True
2022-12-03 03:47:57+00:00,1598886733655191553,https://x.com/jijixi_org/status/1598886733655191553,"三苫の例のパス、画像認証になる : なんじぇいスタジアム＠なんJまとめ
blog.livedoor.jp/nanjstu/archiv
…

真ん中選ぶやつはロボットってのがうまい",jijixi_org,jijixi,0.0,2.0,0.0,-7,True
2022-12-03 03:48:28+00:00,1598886862302908416,https://x.com/ZUN_mieeee/status/1598886862302908416,わたしのアルバムフォルダの中の数少ないサッカー関係の写真に新しく加わりました  三苫ｗｗ,ZUN_mieeee,tomi,1.0,0.0,3.0,-11,True
2022-12-03 04:04:14+00:00,1598890830252900352,https://x.com/ishiken_bot/status/1598890830252900352,"FIFA、念入りに三苫選手のプレー判定 = 証拠映像も

日本-スペイン戦の決勝弾、田中碧選手の2点目をめぐって海外でも画像など飛び交う

FIFA、改めて動画・画像による公式見解を発表

ボールの""接地面""ではなく""ライン上空にボールがかかっているか""によりインプレー",ishiken_bot,石田☆カウンターエリート☆健（イシケン） / The HEADLINE 編集長,1.0,17.0,43.0,-27,True
2022-12-03 04:07:12+00:00,1598891577300045824,https://x.com/laf_bmj/status/1598891577300045824,"森保続投すんなよ

凄いのは三苫",laf_bmj,LAF,0.0,0.0,0.0,-2,True
2022-12-03 04:07:13+00:00,1598891581016543233,https://x.com/rock_a_chan/status/1598891581016543233,"三苫、田中碧、板倉、権田がいたクラブチーム #さぎぬまSC て #南葛SC かよ。

#さぎぬまSCて南葛かよ
#日本代表
#三笘薫
#田中碧
#板倉滉
#権田修一
#FIFAワールドカップ 
#FIFAWorldCup
#FIFAWorldCupQatar2022 
#キャプテン翼
#大空翼
#岬太郎
#石崎了
#若林源三",rock_a_chan,ろっかちゃん,1.0,2.0,19.0,-19,True
2022-12-03 04:08:06+00:00,1598891803465453571,https://x.com/satoshi_koizumi/status/1598891803465453571,"サッカー日本代表チップス買ったら、三苫と守田だった！

#三笘さん
#守田英正 
#サッカー日本代表チップス 
instagram.com/p/ClsRq_uJbkGm
…",satoshi_koizumi,コイズミサトシ,0.0,0.0,1.0,-10,True
2022-12-03 04:30:24+00:00,1598897416161239042,https://x.com/hatune19730717/status/1598897416161239042,まさにコレですね、三苫駅。,hatune19730717,初音,0.0,0.0,0.0,-3,True
2022-12-03 04:30:45+00:00,1598897502123855874,https://x.com/taro300/status/1598897502123855874,"サッカー日本代表の三苫選手がW杯のスペイン戦でギリギリ1mmだけボールがかかった状態で折り返したシーンに感動し、このような1mmだけボール(茶色●)が61.8%のラインにギリギリかかって飛び出していった場面で、売り(sell)出来るように頑張りたいと思いました
#USDJPY",taro300,たろう,1.0,0.0,1.0,-29,True
2022-12-03 05:04:16+00:00,1598905936890187776,https://x.com/mikasyon1228/status/1598905936890187776,"三苫と田中の関係を旦那に熱く語られた娘。あの2人の抱擁シーンを見てのたうち回っている
こんなの少年漫画じゃん。名前からしてもう主人公じゃん。なんならベタすぎてボツになりかねないぐらいの王道の少年漫画じゃん…
お母さんもそう思う。あのシーンは表情筋全部ゆるっゆるになるよな",mikasyon1228,ちゅるり,1.0,0.0,14.0,-26,True
2022-12-03 05:14:41+00:00,1598908560830009344,https://x.com/albirdman_23_1/status/1598908560830009344,"マジでギリギリやん
三苫半端ないって",albirdman_23_1,ﾕｳﾁｬﾝ,0.0,0.0,2.0,-4,True
2022-12-03 05:15:40+00:00,1598908806662348800,https://x.com/choku_nyu/status/1598908806662348800,三苫と田中が小中の同級生ってのもアツいが、子供のころの写真みたら二人ともメチャクチャ可愛いな,choku_nyu,ふじきぶちょー,0.0,0.0,5.0,-9,True
2022-12-03 05:16:41+00:00,1598909063097565184,https://x.com/kiroku_takano/status/1598909063097565184,【三苫】サッカー三笘選手にちなんで取材に行きました。子供の頃は西鉄沿線住民でしたから、感無量です。字もそっくりで、読みも同じ。三苫の皆さんとともに応援しております。決勝トーナメントでも活躍を！　,,,,,,-13,True
2022-12-03 05:20:29+00:00,1598910018463887360,https://x.com/GAMBAREOMARU/status/1598910018463887360,"三苫
堂安
浅野
久保

この四人は今大会
覚えておいて損はないと思う",GAMBAREOMARU,れおまる@'26“栗山さんと共に”,0.0,1.0,5.0,-11,True
2022-12-03 05:33:38+00:00,1598913328654716928,https://x.com/kaiton_spoon/status/1598913328654716928,"三苫の折り返しw

めっちゃ笑ったww",kaiton_spoon,魁翔,0.0,0.0,4.0,-2,True
2022-12-03 05:42:06+00:00,1598915459856097281,https://x.com/28767/status/1598915459856097281,スペイン戦の2点目って三苫さんが間に合ったのもすごいけどそのボールが前にいた前田大然の体にぶつからずゴールポストに当たらずギリギリで通っていったのすごいよね。,28767,toycochan,0.0,0.0,3.0,-14,True
2022-12-03 05:50:39+00:00,1598917610120564741,https://x.com/ganymede108/status/1598917610120564741,三苫が「最後まであきらめてはいけない」って教えてくれたな…。いや、臭えお気持ち論じゃなくて、ヨーロッパの一流と言われる中にもオフサイドやファウルを自己判断してプレーを止めちゃう素人を見かけてマジかよと思ったの。,ganymede108,トーマス107,1.0,0.0,4.0,-13,True
2022-12-03 06:09:52+00:00,1598922446752845825,https://x.com/tokage2022/status/1598922446752845825,"【ネットで見かけた英単語】
childhood friends 　幼なじみ

Mitoma and Tanaka have been childhood friends since elementary school. It's like Captain Tsubasa!

日本代表の三苫、田中両選手の幼馴染コンビによるスペイン戦のゴールが、キャプテン翼なみのストーリーだと海外でも話題です！",tokage2022,とかげ＠アメリカ駐在員,0.0,1.0,5.0,-14,True
2022-12-03 06:50:03+00:00,1598932560457134080,https://x.com/pumpkinpuripuri/status/1598932560457134080,"三苫VARの色々見た中でこの動画のヤツがカッコええし分かりやすいかも。
 #daihyo",pumpkinpuripuri,うみ＠Future Stock,1.0,3.0,11.0,-6,True
2022-12-03 07:20:13+00:00,1598940152176705537,https://x.com/kanayuki3/status/1598940152176705537,三苫＆田中幼馴染コンビと聞いたから同い年だと思ってたら三苫選手がひとつ上だったし薫さん呼びで変なとこに刺さりかけた,kanayuki3,かなゆき,0.0,0.0,3.0,-10,True
2022-12-03 07:30:50+00:00,1598942823772196864,https://x.com/gcfoLM2jv6hVzl4/status/1598942823772196864,今回のワールドカップで三苫くんが間違いなく世界に知れ渡ってしまったね、プレミアリーグ再開したらマークが厳しくなる、そこから今と変わらず活躍すればビッグクラブは放っておくわけがない。頑張って上り詰めてくれ,gcfoLM2jv6hVzl4,パン工房LE PAIN NAGATA,0.0,0.0,26.0,-14,True
2022-12-03 07:46:43+00:00,1598946818934870016,https://x.com/kana_violetann/status/1598946818934870016,三苫といったら「うみ」しか出てこんよ…。,kana_violetann,お_か_じ_ゃ_き,1.0,0.0,5.0,-2,True
2022-12-03 07:49:33+00:00,1598947532868292608,https://x.com/nakau1/status/1598947532868292608,村神様が新語流行語大賞獲るなら、「ロストフの14秒」なんて獲ってしかるべきだったし、「三苫の1ミリ」は大いにあるべきでしょう( ˘ω˘ ),nakau1,なかゆー,0.0,0.0,1.0,-4,True
2022-12-03 08:17:53+00:00,1598954662019084288,https://x.com/ovwEAI4Z4wu4Q5R/status/1598954662019084288,"私は勝手なイメージで久保さんがこういう事を成してしまう選手になるかもだなって見てたフシがある。香川さんのハットとは違って自分が切り拓く感があるのすごいよな。三苫さんきちんと見てなくて知らなかったの恥ずかしくなったわ。
youtu.be/ad-bARBwmTQ",ovwEAI4Z4wu4Q5R,海猫のオッサンw,1.0,0.0,10.0,-10,True
