timestamp,volume,dict_positive_count,dict_negative_count,dict_neutral_count,dict_avg_polarity,dict_positive_rate,dict_negative_rate,dict_neutral_rate
2023-12-24 23:00:00+09:00,111,3,90,18,-0.6348364348364348,0.02702702702702703,0.8108108108108109,0.16216216216216217
2023-12-25 00:00:00+09:00,81,3,70,8,-0.6187505224542261,0.037037037037037035,0.8641975308641975,0.09876543209876543
2023-12-25 01:00:00+09:00,44,0,38,6,-0.577755259094972,0.0,0.8636363636363636,0.13636363636363635
2023-12-25 02:00:00+09:00,35,1,31,3,-0.7441710670282099,0.02857142857142857,0.8857142857142857,0.08571428571428572
2023-12-25 03:00:00+09:00,14,1,12,1,-0.7925824175824177,0.07142857142857142,0.8571428571428571,0.07142857142857142
2023-12-25 04:00:00+09:00,11,1,9,1,-0.5088547815820543,0.09090909090909091,0.8181818181818182,0.09090909090909091
2023-12-25 05:00:00+09:00,8,0,7,1,-0.875,0.0,0.875,0.125
2023-12-25 06:00:00+09:00,12,1,7,4,-0.3829365079365079,0.08333333333333333,0.5833333333333334,0.3333333333333333
2023-12-25 07:00:00+09:00,24,2,20,2,-0.6000661375661376,0.08333333333333333,0.8333333333333334,0.08333333333333333
2023-12-25 08:00:00+09:00,35,1,31,3,-0.7481632653061224,0.02857142857142857,0.8857142857142857,0.08571428571428572
2023-12-25 11:00:00+09:00,26,1,21,4,-0.6771203155818541,0.038461538461538464,0.8076923076923077,0.15384615384615385
2023-12-25 12:00:00+09:00,32,3,28,1,-0.6264152514152515,0.09375,0.875,0.03125
2023-12-25 13:00:00+09:00,23,1,21,1,-0.6869512384386526,0.043478260869565216,0.9130434782608695,0.043478260869565216
2023-12-25 14:00:00+09:00,23,1,18,4,-0.5427987471465733,0.043478260869565216,0.782608695652174,0.17391304347826086
2023-12-25 15:00:00+09:00,17,0,14,3,-0.763903743315508,0.0,0.8235294117647058,0.17647058823529413
2023-12-25 16:00:00+09:00,20,0,17,3,-0.6333189033189033,0.0,0.85,0.15
2023-12-25 17:00:00+09:00,20,0,19,1,-0.7045781995781996,0.0,0.95,0.05
2023-12-25 18:00:00+09:00,31,2,27,2,-0.7008271298593879,0.06451612903225806,0.8709677419354839,0.06451612903225806
2023-12-25 19:00:00+09:00,32,1,26,5,-0.6404243326118326,0.03125,0.8125,0.15625
2023-12-25 20:00:00+09:00,54,3,40,11,-0.5570286195286195,0.05555555555555555,0.7407407407407407,0.2037037037037037
2023-12-25 21:00:00+09:00,43,0,38,5,-0.7289406216218802,0.0,0.8837209302325582,0.11627906976744186
2023-12-25 22:00:00+09:00,25,0,20,5,-0.5681421736158578,0.0,0.8,0.2
2023-12-25 23:00:00+09:00,27,1,21,5,-0.510435038212816,0.037037037037037035,0.7777777777777778,0.18518518518518517
2023-12-26 00:00:00+09:00,19,0,17,2,-0.6684947663275836,0.0,0.8947368421052632,0.10526315789473684
2023-12-26 01:00:00+09:00,16,2,14,0,-0.6930921052631579,0.125,0.875,0.0
2023-12-26 02:00:00+09:00,7,0,7,0,-0.8311688311688312,0.0,1.0,0.0
2023-12-26 03:00:00+09:00,9,0,7,2,-0.472310405643739,0.0,0.7777777777777778,0.2222222222222222
2023-12-26 04:00:00+09:00,5,0,4,1,-0.6057142857142856,0.0,0.8,0.2
2023-12-26 05:00:00+09:00,1,0,1,0,-1.0,0.0,1.0,0.0
2023-12-26 06:00:00+09:00,4,0,3,1,-0.5119047619047619,0.0,0.75,0.25
2023-12-26 07:00:00+09:00,15,0,14,1,-0.7452813852813853,0.0,0.9333333333333333,0.06666666666666667
2023-12-26 08:00:00+09:00,10,0,10,0,-0.8319392684610076,0.0,1.0,0.0
2023-12-27 07:00:00+09:00,192,4,175,13,-0.7959533930122166,0.020833333333333332,0.9114583333333334,0.06770833333333333
2023-12-27 08:00:00+09:00,306,1,277,28,-0.798951705233955,0.0032679738562091504,0.9052287581699346,0.0915032679738562
2023-12-28 07:00:00+09:00,254,3,239,12,-0.831607066012005,0.011811023622047244,0.9409448818897638,0.047244094488188976
2023-12-28 08:00:00+09:00,399,4,377,18,-0.8337309290008376,0.010025062656641603,0.9448621553884712,0.045112781954887216
2023-12-29 07:00:00+09:00,254,5,237,12,-0.7928313942395144,0.01968503937007874,0.9330708661417323,0.047244094488188976
2023-12-29 08:00:00+09:00,422,4,395,23,-0.7946988416929212,0.009478672985781991,0.9360189573459715,0.054502369668246446
2023-12-30 07:00:00+09:00,159,2,151,6,-0.8192673059485805,0.012578616352201259,0.949685534591195,0.03773584905660377
2023-12-30 08:00:00+09:00,366,4,347,15,-0.8255814707078474,0.01092896174863388,0.9480874316939891,0.040983606557377046
2023-12-31 07:00:00+09:00,93,3,89,1,-0.8447935576967835,0.03225806451612903,0.956989247311828,0.010752688172043012
2023-12-31 08:00:00+09:00,226,1,219,6,-0.8257175854919003,0.004424778761061947,0.9690265486725663,0.02654867256637168
