timestamp,volume,negative_rate,stance_against_rate,stance_favor_rate,stance_neutral_rate,delta_volume,delta_negative_rate,delta_against_rate,delta_volume_rate,sentiment_avg_score,stance_against_mean,stance_favor_mean,stance_neutral_mean
2025-10-31 14:00:00+00:00,2,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,-15.5,0.331929985,0.2645517,0.40351830499999997
2025-10-31 15:00:00+00:00,0,0.0,0.0,0.0,0.0,-2.0,-1.0,-0.5,-1.0,0.0,0.0,0.0,0.0
2025-10-31 16:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31 17:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31 18:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31 19:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31 20:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31 21:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31 22:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-31 23:00:00+00:00,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-21.0,0.25415543,0.22415423,0.52169037
2025-11-01 00:00:00+00:00,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-5.0,0.33667052,0.26001862,0.40331092
2025-11-01 01:00:00+00:00,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2025-11-01 02:00:00+00:00,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-21.0,0.28841305,0.34276384,0.36882314
2025-11-01 03:00:00+00:00,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-4.0,0.28965148,0.21193124,0.4984173
2025-11-01 04:00:00+00:00,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-6.0,0.22976433,0.30671844,0.46351725
2025-11-01 05:00:00+00:00,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2025-11-01 06:00:00+00:00,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-9.0,0.17098914,0.28692427,0.54208654
2025-11-01 07:00:00+00:00,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2025-11-01 08:00:00+00:00,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-30.0,0.25060797,0.22637287,0.52301913
2025-11-01 09:00:00+00:00,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-15.0,0.30139238,0.25047243,0.44813517
2025-11-01 10:00:00+00:00,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0
2025-11-01 11:00:00+00:00,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-01 12:00:00+00:00,4,1.0,0.25,0.0,0.75,4.0,1.0,0.25,0.0,-11.5,0.2649274325,0.2631959025,0.47187667499999997
